slope,disp,mutsd,pert_treat,patch_sd,ac,draw,batch,rep,base_n,base_usd,base_xsd,base_xmean,trough_n,trough_t,trough_usd,trough_xsd,trough_xmean,peak_n,peak_t,final_n,final_t,final_usd,final_xsd,final_xmean,final_mal,n_steps,survived
0.8,1.5,0,10,1,0,2,1,0,1415.0,24.151600000000002,30.15805,48.7919,0.0,300.0,nan,nan,nan,0.0,300.0,0.0,300.0,nan,nan,nan,nan,30,0
0.8,1.5,0,10,1,0,2,1,1,1409.0,24.005499999999998,30.06405,49.239999999999995,2.0,300.0,0.93912,8.8933,84.1464,2.0,300.0,2.0,300.0,0.93912,8.8933,84.1464,5.12687,30,0
0.8,1.5,0,10,1,0,2,1,2,1365.5,23.874450000000003,29.889049999999997,48.51665,2.0,290.0,0.0,0.679823,52.8495,2.0,290.0,2.0,290.0,0.0,0.679823,52.8495,1.42341,29,0
0.8,1.5,0,10,1,0,2,1,3,1433.5,23.829549999999998,29.78505,50.452200000000005,3.0,290.0,18.4479,21.6185,45.9075,3.0,290.0,3.0,290.0,18.4479,21.6185,45.9075,1.4376,29,0
0.8,1.5,0,10,1,0,2,1,4,1382.0,23.7662,29.75065,49.07835,6.0,290.0,14.2178,17.9524,37.543,6.0,290.0,6.0,290.0,14.2178,17.9524,37.543,0.810635,29,0
0.8,1.5,0,10,1,0,2,1,5,1433.5,23.82125,29.7658,50.281800000000004,14.0,290.0,14.0426,22.3684,42.1415,167.0,450.0,121.0,910.0,4.28098e-14,2.19344,31.0547,10.0927,91,1
0.8,1.5,0,10,1,0,2,1,6,1356.5,23.848300000000002,29.8613,48.94255,5.0,290.0,21.1546,27.3349,50.8659,5.0,290.0,5.0,290.0,21.1546,27.3349,50.8659,0.819684,29,0
0.8,1.5,0,10,1,0,2,1,7,1345.0,23.640749999999997,29.6088,48.418350000000004,11.0,290.0,0.0,3.01503,84.5071,173.0,530.0,150.0,910.0,7.12923e-14,2.06256,83.8854,10.0783,91,1
0.8,1.5,0,10,1,0,2,1,8,1428.5,24.316049999999997,30.36605,49.733850000000004,3.0,290.0,22.331,28.2127,48.3671,3.0,290.0,3.0,290.0,22.331,28.2127,48.3671,1.14818,29,0
0.8,1.5,0,10,1,0,2,1,9,1436.5,24.065649999999998,30.10575,49.7518,4.0,290.0,11.0,13.4994,69.8284,4.0,290.0,4.0,290.0,11.0,13.4994,69.8284,0.858394,29,0
0.8,1.5,0,10,1,2,0,1,0,1529.0,24.0116,29.8968,48.0013,2.0,290.0,7.85806,9.84067,91.828,2.0,290.0,2.0,290.0,7.85806,9.84067,91.828,0.593662,29,0
0.8,1.5,0,10,1,2,0,1,1,1574.0,24.1556,30.11105,50.178349999999995,8.0,290.0,24.0063,29.1305,46.8141,8.0,290.0,8.0,290.0,24.0063,29.1305,46.8141,0.745655,29,0
0.8,1.5,0,10,1,2,0,1,2,1565.5,23.87355,29.6659,48.20255,5.0,290.0,19.1925,24.8532,30.2268,5.0,290.0,5.0,290.0,19.1925,24.8532,30.2268,0.544495,29,0
0.8,1.5,0,10,1,2,0,1,3,1567.5,23.7866,29.67675,48.6957,1.0,290.0,nan,nan,66.6121,1.0,290.0,1.0,290.0,nan,nan,66.6121,0.761445,29,0
0.8,1.5,0,10,1,2,0,1,4,1574.5,24.0518,29.99795,49.097350000000006,6.0,290.0,19.175,24.8313,58.7156,6.0,290.0,6.0,290.0,19.175,24.8313,58.7156,0.467932,29,0
0.8,1.5,0,10,1,2,0,1,5,1546.5,24.14115,30.12795,49.468050000000005,5.0,290.0,32.3817,41.0972,45.5457,5.0,290.0,5.0,290.0,32.3817,41.0972,45.5457,0.706668,29,0
0.8,1.5,0,10,1,2,0,1,6,1603.5,23.9598,29.796,48.987899999999996,1.0,300.0,nan,nan,87.2225,1.0,300.0,1.0,300.0,nan,nan,87.2225,0.351139,30,0
0.8,1.5,0,10,1,2,0,1,7,1594.5,23.46195,29.36015,48.06285,29.0,330.0,1.44624e-14,2.44962,9.10789,175.0,610.0,134.0,910.0,1.06981e-14,2.18342,10.6239,9.65516,91,1
0.8,1.5,0,10,1,2,0,1,8,1626.0,24.1162,30.0764,49.14975,2.0,290.0,6.42147,7.86045,75.7628,2.0,290.0,2.0,290.0,6.42147,7.86045,75.7628,0.483025,29,0
0.8,1.5,0,10,1,2,0,1,9,1498.0,23.928350000000002,29.7652,48.48735,2.0,300.0,0.0,3.0919,23.2671,2.0,300.0,2.0,300.0,0.0,3.0919,23.2671,2.02333,30,0
0.8,1.5,0,10,1,2,1,1,0,1578.5,23.633499999999998,29.5302,49.92505,23.0,310.0,3.63256e-15,2.51878,17.7583,198.0,910.0,198.0,910.0,2.4932e-14,2.47226,18.6175,9.92366,91,1
0.8,1.5,0,10,1,2,1,1,1,1532.0,23.99215,30.033,49.02055,11.0,280.0,22.4552,28.0448,62.4888,11.0,280.0,11.0,280.0,22.4552,28.0448,62.4888,0.60418,28,1
0.8,1.5,0,10,1,2,1,1,2,1581.5,24.004649999999998,29.9577,48.80505,15.0,280.0,21.6473,27.8387,38.7864,15.0,280.0,15.0,280.0,21.6473,27.8387,38.7864,1.00867,28,1
0.8,1.5,0,10,1,2,1,1,3,1592.0,24.0061,29.9404,49.2633,2.0,290.0,0.0,0.236921,21.6648,2.0,290.0,2.0,290.0,0.0,0.236921,21.6648,0.516417,29,0
0.8,1.5,0,10,1,2,1,1,4,1602.5,24.1514,30.290399999999998,48.061499999999995,3.0,290.0,11.5986,13.8489,51.7112,3.0,290.0,3.0,290.0,11.5986,13.8489,51.7112,0.38378,29,0
0.8,1.5,0,10,1,2,1,1,5,1584.5,24.04395,30.0953,48.61895,0.0,310.0,nan,nan,nan,0.0,310.0,0.0,310.0,nan,nan,nan,nan,31,0
